6
0 0.000000000000e+00
1.884338333009e-01 -8.822162587564e-02 -2.269022026123e-01
-8.592334821271e-02 6.128234612540e-02 3.829530553296e-01
7.195002480376e-02 -3.293217947511e-02 3.161228646751e-01
-3.245941880558e-01 1.638403007793e-01 1.303673902967e-02
-7.590883804548e-03 1.885222939811e-04 3.506839019695e-02
-1.653772868181e-02 1.075959958395e-01 3.997728837229e-02
6
1 3.000000000000e-02
1.871404178582e-01 -8.758168056509e-02 -2.252659149976e-01
-8.567513957986e-02 6.081672485261e-02 3.816024681329e-01
7.190847276394e-02 -3.290578574492e-02 3.159786372466e-01
-3.244384626852e-01 1.637603762988e-01 1.303883112946e-02
-7.603083357038e-03 1.668728566049e-04 3.505785392445e-02
-1.653291017986e-02 1.076090609111e-01 3.994070444280e-02
6
2 6.000000000000e-02
1.833605837280e-01 -8.579737534488e-02 -2.201847864448e-01
-8.494483859640e-02 5.944309895129e-02 3.776174940137e-01
7.178711857380e-02 -3.282882386020e-02 3.155658461369e-01
-3.239950458113e-01 1.635341721759e-01 1.304742860336e-02
-7.639923865831e-03 1.021317638976e-04 3.502694823159e-02
-1.651865923914e-02 1.076487093675e-01 3.983175535176e-02
6
3 9.000000000000e-02
1.772146899167e-01 -8.288527425220e-02 -2.118633652610e-01
-8.376647849850e-02 5.722129338916e-02 3.711653482702e-01
7.159764354317e-02 -3.270715865156e-02 3.149393754733e-01
-3.233264007554e-01 1.631961386058e-01 1.306755212014e-02
-7.701812212429e-03 -5.129426193573e-06 3.497722669440e-02
-1.649543149908e-02 1.077155214409e-01 3.965246605520e-02
6
4 1.200000000000e-01
1.687399747863e-01 -7.878221106719e-02 -2.004089489627e-01
-8.218863961695e-02 5.423986427370e-02 3.624928162371e-01
7.135632272712e-02 -3.254798474779e-02 3.141668968656e-01
-3.224958105340e-01 1.627824240747e-01 1.310318968426e-02
-7.789007269184e-03 -1.540165725241e-04 3.491063856697e-02
-1.646373379615e-02 1.078096245583e-01 3.940570317812e-02
6
5 1.500000000000e-01
1.580702566762e-01 -7.361215843031e-02 -1.858069974938e-01
-8.027426712558e-02 5.061179111941e-02 3.519185758796e-01
7.107327800229e-02 -3.235571595202e-02 3.132921453909e-01
-3.215233521586e-01 1.623040378433e-01 1.315471037596e-02
-7.901543822149e-03 -3.433270794080e-04 3.482928547623e-02
-1.642402448881e-02 1.079306133753e-01 3.909485560818e-02
6
6 1.800000000000e-01
1.454915605628e-01 -6.753855565593e-02 -1.683819891831e-01
-7.809223643015e-02 4.646115392297e-02 3.397948483338e-01
7.074870526011e-02 -3.213084653280e-02 3.123198604771e-01
-3.203878605906e-01 1.617449353810e-01 1.321902419157e-02
-8.039270869790e-03 -5.715600091962e-04 3.473530112764e-02
-1.637671602813e-02 1.080774051900e-01 3.872364627000e-02
6
7 2.100000000000e-01
1.313549793756e-01 -6.067826588959e-02 -1.485995109506e-01
-7.570953767245e-02 4.191189700854e-02 3.264746951186e-01
7.037870904746e-02 -3.187317525028e-02 3.112337719709e-01
-3.190636973515e-01 1.610884409266e-01 1.329244019804e-02
-8.201924937512e-03 -8.369717006078e-04 3.463093686663e-02
-1.632215069185e-02 1.082480897880e-01 3.829601477911e-02
6
8 2.400000000000e-01
1.159924448766e-01 -5.315245692289e-02 -1.269333033313e-01
-7.318929056717e-02 3.708292530065e-02 3.122982067412e-01
6.996228004875e-02 -3.158421767512e-02 3.100227168533e-01
-3.175439566912e-01 1.603338020083e-01 1.337256480429e-02
-8.388935304799e-03 -1.137572009147e-03 3.451830877225e-02
-1.626045873015e-02 1.084396249859e-01 3.781592630896e-02
6
9 2.700000000000e-01
9.971766416732e-02 -4.512333093995e-02 -1.038210145393e-01
-7.058875899348e-02 3.208186882442e-02 2.975754768010e-01
6.950245605703e-02 -3.126668574796e-02 3.086895783894e-01
-3.158322929572e-01 1.594869470134e-01 1.345703185731e-02
-8.599018901300e-03 -1.471018686326e-03 3.439884819243e-02
-1.619154004061e-02 1.086478646240e-01 3.728741330792e-02
6
10 3.000000000000e-01
8.284709711169e-02 -3.677608761026e-02 -7.972673475873e-02
-6.795540471097e-02 2.699821226646e-02 2.825678145945e-01
6.900251961095e-02 -3.092251152677e-02 3.072382079568e-01
-3.139221072136e-01 1.585441448753e-01 1.354201938449e-02
-8.829963745439e-03 -1.834549986259e-03 3.427295107069e-02
-1.611520073805e-02 1.088679369210e-01 3.671462806707e-02
6
11 3.300000000000e-01
6.570328118855e-02 -2.829092185561e-02 -5.514452876469e-02
-6.532507262800e-02 2.190178141873e-02 2.674836709937e-01
6.846226169473e-02 -3.055176088498e-02 3.056556597458e-01
-3.117892338391e-01 1.574894177312e-01 1.362255893724e-02
-9.078799257804e-03 -2.225063899077e-03 3.414009992955e-02
-1.603117836119e-02 1.090944462610e-01 3.610155947746e-02
6
12 3.600000000000e-01
4.860660428474e-02 -1.982969354771e-02 -3.054905430391e-02
-6.272372604930e-02 1.684620135489e-02 2.524873069298e-01
6.787736085161e-02 -3.015287607973e-02 3.039086070109e-01
-3.094023522613e-01 1.563049482813e-01 1.369390785245e-02
-9.342105922006e-03 -2.639279229348e-03 3.399919689662e-02
-1.593907204863e-02 1.093215486869e-01 3.545172248022e-02
6
13 3.900000000000e-01
3.185669074868e-02 -1.153295747866e-02 -6.351884991160e-03
-6.017031946698e-02 1.187311395027e-02 2.377091934886e-01
6.724170390034e-02 -2.972389761215e-02 3.019562921588e-01
-3.067348447343e-01 1.549788983537e-01 1.375193523264e-02
-9.616188390589e-03 -3.073840320376e-03 3.384877066831e-02
-1.583837109887e-02 1.095432333965e-01 3.476821507208e-02
6
14 4.200000000000e-01
1.571655407287e-02 -3.525796980408e-03 1.709828470300e-02
-5.767857501624e-02 7.014688312993e-03 2.232525741752e-01
6.655031226341e-02 -2.926377821323e-02 2.997659653849e-01
-3.037668272389e-01 1.535033113636e-01 1.379274196114e-02
-9.897099080787e-03 -3.525327369450e-03 3.368700362977e-02
-1.572855870730e-02 1.097536567941e-01 3.405398721618e-02
6
15 4.500000000000e-01
4.096010725820e-04 4.075222431682e-03 3.947483087169e-02
-5.525758271605e-02 2.294651800612e-03 2.091966861219e-01
6.580050450680e-02 -2.877228505347e-02 2.973168006920e-01
-3.004818804310e-01 1.518696977909e-01 1.381283001695e-02
-1.018066011942e-02 -3.990247961173e-03 3.351173885559e-02
-1.560917554378e-02 1.099473003702e-01 3.331201525034e-02
6
16 4.800000000000e-01
-1.387100153870e-02 1.116493987008e-02 6.046179351226e-02
-5.291220928494e-02 -2.270923155338e-03 1.955989218626e-01
