6
0 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
6
1 3.000000000000e-02
1.931671694547e-07 -9.042000877625e-08 -2.325612981370e-07
-8.825736606624e-08 6.279858606144e-08 3.932299030150e-07
1.174559679001e-06 -5.375464126373e-07 5.160911240879e-06
-5.299148780257e-06 2.674757158007e-06 2.128988821218e-07
-1.240539939857e-07 2.901690348840e-09 5.725588698436e-07
-2.700114322231e-07 1.757082039991e-06 6.525054381519e-07
6
2 6.000000000000e-02
3.837250405964e-07 -1.795931652679e-07 -4.616676622279e-07
-1.760114603233e-07 1.246512016005e-07 7.837155942699e-07
2.347789279540e-06 -1.074248958976e-06 1.031727459945e-05
-1.059340575131e-05 5.347014871627e-06 4.258850412724e-07
-2.485083847476e-07 5.098029015302e-09 1.144779378990e-06
-5.398671684057e-07 3.514594469467e-06 1.303822644668e-06
6
3 9.000000000000e-02
5.691778632283e-07 -2.663508432989e-07 -6.838807619694e-07
-2.627838827607e-07 1.846545974004e-07 1.168833215443e-06
3.518481056621e-06 -1.609329777165e-06 1.546515271040e-05
-1.587858308421e-05 8.014665760800e-06 6.391056983370e-07
-3.737688657624e-07 5.890022790869e-09 1.716341591998e-06
-8.094169028713e-07 5.272976115901e-06 1.952786474820e-06
6
4 1.200000000000e-01
7.471109433958e-07 -3.495004480326e-07 -8.959226571136e-07
-3.481387235784e-07 2.419818403183e-07 1.546171839025e-06
4.685655520231e-06 -2.142117631760e-06 2.060160883770e-05
-2.115151962956e-05 1.067617886164e-05 8.527816272027e-07
-5.002465661792e-07 4.590645442095e-09 2.286954172939e-06
-1.078518188258e-06 7.032671584585e-06 2.598271722108e-06
6
5 1.500000000000e-01
9.151975658562e-07 -4.278806588852e-07 -1.094563114879e-06
-4.316974333141e-07 2.959096519891e-07 1.913611369332e-06
5.848548703056e-06 -2.672036066533e-06 2.572461584612e-05
-2.640973484654e-05 1.333040823852e-05 1.067169175991e-06
-6.283550127763e-07 5.299899365587e-10 2.856358860064e-06
-1.347036457720e-06 8.794123211699e-06 3.239204254342e-06
6
6 1.800000000000e-01
1.071326951216e-06 -5.004779783830e-07 -1.276731311440e-06
-5.131492611056e-07 3.458366796451e-07 2.269376770759e-06
7.006480879135e-06 -3.198548698131e-06 3.083254237959e-05
-3.165073931094e-05 1.597616684441e-05 1.282502477336e-06
-7.585067834686e-07 -6.939777253296e-09 3.424331971786e-06
-1.614844254297e-06 1.055776118399e-05 3.874568005054e-06
6
7 2.100000000000e-01
1.213716005653e-06 -5.664230755722e-07 -1.439762773159e-06
-5.922533351171e-07 3.912891355891e-07 2.612055752093e-06
8.158742116740e-06 -3.721121535686e-06 3.592366293730e-05
-3.687166146244e-05 1.861200048134e-05 1.498960299639e-06
-8.911110721033e-07 -1.843999851865e-08 3.990685629093e-06
-1.881820283157e-06 1.232399125199e-05 4.503409470022e-06
6
8 2.400000000000e-01
1.340932931913e-06 -6.249690447242e-07 -1.581476145848e-06
-6.688357022453e-07 4.319181355270e-07 2.940592527433e-06
9.304582438240e-06 -4.239231319431e-06 4.099602803514e-05
-4.206936402728e-05 2.123631265524e-05 1.716671733066e-06
-1.026570261585e-06 -3.456153089327e-08 4.555267611624e-06
-2.147847107507e-06 1.409317873143e-05 5.124839685158e-06
6
9 2.700000000000e-01
1.451878000852e-06 -6.755147243304e-07 -1.700158825198e-06
-7.427843256604e-07 4.674913077182e-07 3.254265716719e-06
1.044326842789e-05 -4.752389305908e-06 4.604762058741e-05
-4.724068318501e-05 2.384754913177e-05 1.935727005958e-06
-1.165271599195e-06 -5.585985877604e-08 5.117954662655e-06
-2.412807536704e-06 1.586563024749e-05 5.738034984454e-06
6
10 3.000000000000e-01
1.545775593857e-06 -7.176376302871e-07 -1.794561993366e-06
-8.140410315306e-07 4.978776614160e-07 3.552647826598e-06
1.157411827347e-05 -5.260144668458e-06 5.107647849467e-05
-5.238243107353e-05 2.644417361706e-05 2.156165822546e-06
-1.307573796208e-06 -8.284879404668e-08 5.678638444723e-06
-2.676581979786e-06 1.764157879665e-05 6.342238527744e-06
6
11 3.300000000000e-01
1.622178744523e-06 -7.511032100083e-07 -1.863929635410e-06
-8.825904927135e-07 5.230281432112e-07 3.835552973044e-06
1.269647525714e-05 -5.762062892905e-06 5.608056540425e-05
-5.749116864774e-05 2.902448889996e-05 2.377956116016e-06
-1.453793249907e-06 -1.159942728515e-07 6.237209628080e-06
-2.939047119866e-06 1.942117354533e-05 6.936759945070e-06
6
12 3.600000000000e-01
1.680971158938e-06 -7.758528381875e-07 -1.908003974454e-06
-9.484491715666e-07 5.429571935424e-07 4.102986966972e-06
1.380964567113e-05 -6.257697284426e-06 6.105746716255e-05
-6.256300383512e-05 3.158652184238e-05 2.600986531365e-06
-1.604194184442e-06 -1.557101144603e-07 6.793545694149e-06
-3.200074224235e-06 2.120447189234e-05 7.520970132919e-06
6
13 3.900000000000e-01
1.722355430886e-06 -7.919834288941e-07 -1.926983044430e-06
-1.011656632786e-06 5.577282510072e-07 4.355107207298e-06
1.491285061213e-05 -6.746572431019e-06 6.600416474051e-05
-6.759357151489e-05 3.412805717859e-05 2.825073263737e-06
-1.758982733319e-06 -2.023559503189e-07 7.347503147837e-06
-3.459527117556e-06 2.299143444606e-05 8.094293980348e-06
6
14 4.200000000000e-01
1.746823532774e-06 -7.997285204849e-07 -1.921455904037e-06
-1.072269247470e-06 5.674427170260e-07 4.592191298158e-06
1.600522061609e-05 -7.228188371363e-06 7.091703894410e-05
-7.257812689386e-05 3.664671802483e-05 3.049966945722e-06
-1.918302627911e-06 -2.562360923647e-07 7.898911641056e-06
-3.717261235228e-06 2.478192502745e-05 8.656205756117e-06
6
15 4.500000000000e-01
1.755117615060e-06 -7.994459373234e-07 -1.892358944996e-06
-1.130355119574e-06 5.722307419603e-07 4.814610698015e-06
1.708582367736e-05 -7.702034692529e-06 7.579203314964e-05
-7.751162877326e-05 3.913999322006e-05 3.275357814593e-06
-2.082231257780e-06 -3.175984164338e-07 8.447568374842e-06
-3.973124042812e-06 2.657571468942e-05 9.206228115383e-06
6
16 4.800000000000e-01
1.748194082318e-06 -7.916075431716e-07 -1.840959055900e-06
-1.185989531349e-06 5.722429461922e-07 5.022807137362e-06
1.815369403923e-05 -8.167597755132e-06 8.062478892521e-05
-8.238878758131e-05 4.160523334314e-05 3.500883680726e-06
-2.250776844062e-06 -3.866335270769e-07 8.993233534295e-06
-4.226956202782e-06 2.837248775015e-05 9.743932956530e-06
6
17 5.100000000000e-01
1.727195644589e-06 -7.767829152947e-07 -1.768823069011e-06
-1.239251017731e-06 5.676431606867e-07 5.217271376475e-06
1.920783961241e-05 -8.624360746616e-06 8.541066572436e-05
-8.720411969293e-05 4.403967708815e-05 3.726138259335e-06
-2.423877943829e-06 -4.634749729676e-07 9.535628346306e-06
-4.478593188175e-06 3.017184953376e-05 1.026894250641e-05
6
18 5.400000000000e-01
1.693420919363e-06 -7.556157626023e-07 -1.677749289467e-06
-1.290218410283e-06 5.586024744598e-07 5.398524720563e-06
2.024723664359e-05 -9.071804443888e-06 9.014471851665e-05
-9.195203351746e-05 4.644051168988e-05 3.950680234375e-06
-2.601405585114e-06 -5.482007879317e-07 1.007443632344e-05
-4.727867382636e-06 3.197333629703e-05 1.078093033227e-05
6
19 5.700000000000e-01
1.648282911915e-06 -7.288011436786e-07 -1.569689882841e-06
-1.338968858431e-06 5.452945380060e-07 5.567103664450e-06
2.127083582304e-05 -9.509412147445e-06 9.482175400477e-05
-9.662694124691e-05 4.880493475253e-05 4.174045562543e-06
-2.783167475656e-06 -6.408359929855e-07 1.060930706497e-05
-4.974610773933e-06 3.377642770108e-05 1.127962318199e-05
6
20 6.000000000000e-01
1.593264732623e-06 -6.970692728888e-07 -1.446703440125e-06
-1.385576565027e-06 5.278918850877e-07 5.723547906566e-06
2.227758862649e-05 -9.936679691916e-06 9.943649009643e-05
-1.012233795981e-04 5.113020547150e-05 4.395758546762e-06
-2.968913567723e-06 -7.413556474563e-07 1.113986153221e-05
-5.218657810281e-06 3.558056008771e-05 1.176480251063e-05
6
21 6.300000000000e-01
1.529885148551e-06 -6.611718255467e-07 -1.310929265400e-06
